조건별분석,,,,,,,,,,,
[검색조건],,,,,,,,,,,
,분류: 지상,,,,,,,,,,
,요소 : 기온,,,,,,,,,,
,검색구분 : 월,,,,,,,,,,
,지역/지점명 : 전국,,,,,,,,,,
,기간 : 2011 ~ 2021년 01 ~ 12월,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"	",,,,,,,,,,,
"		지역번호",지역명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온관측지점,평균최저기온(℃),최저기온(℃),최저기온관측지점,,
"		0",전국,21-Mar,8.7,14.6,25,광주,의령군,3.4,-16.9,대관령,
"		0",전국,21-Feb,3.6,9.6,24.9,포항,-1.8,-17.4,대관령,,
"		0",전국,21-Jan,-0.7,4.7,18.2,제주,-5.8,-24.3,대관령,,
"		0",전국,20-Dec,0.7,6.3,16.3,성산,-4,-20.3,제천,,
"		0",전국,20-Nov,8.8,14.3,26.7,제주,3.8,-8.9,철원,파주,대관령
"		0",전국,20-Oct,14,20.2,28.1,김해시,양산시,8.7,-4.6,대관령,
"		0",전국,20-Sep,20.3,25.1,32.5,고산,16.6,3,대관령,,
"		0",전국,20-Aug,26.6,30.7,37.8,양산시,23.7,15.3,태백,,
"		0",전국,20-Jul,22.7,26.3,35,영월,19.8,7.8,대관령,,
"		0",전국,20-Jun,22.8,28,37,대구,18.4,8.1,대관령,,
"		0",전국,20-May,17.7,23.2,32.8,울진,12.8,0.6,대관령,,
"		0",전국,20-Apr,10.9,17.2,29,울진,4.7,-9.2,대관령,,
"		0",전국,20-Mar,7.9,14.1,25.4,대구,1.9,-8.9,대관령,,
"		0",전국,20-Feb,3.6,9.1,21.8,제주,-1.2,-24,대관령,,
"		0",전국,20-Jan,2.8,7.7,23.6,제주,-1.1,-14.2,대관령,,
"		0",전국,19-Dec,2.8,8.1,19.8,서귀포,-1.7,-15.6,철원,,
"		0",전국,19-Nov,8.8,15.1,24.7,산청,3.5,-9.7,대관령,,
"		0",전국,19-Oct,15.8,21.4,29.9,북춘천,거제,11.1,-1.9,대관령,
"		0",전국,19-Sep,21.8,26.5,34.2,양산시,18,4.4,대관령,,
"		0",전국,19-Aug,26.2,31,37.6,의성,22.4,12.3,대관령,,
"		0",전국,19-Jul,24.8,29.1,36.9,영월,21.5,11.8,대관령,,
